url,lead,source
https://www.nytimes.com/2020/07/06/business/energy-environment/renewable-energy-natural-gas.html,"Dominion Energy, one of the nation’s largest utilities, in late June erected wind turbines off the Virginia coast — only the second such installation in the United States — as part of a big bet on renewable energy.",nyt
https://www.nytimes.com/2020/07/05/business/atlantic-coast-pipeline-cancel-dominion-energy-berkshire-hathaway.html,"Two of the nation’s largest utility companies announced on Sunday that they had canceled the Atlantic Coast Pipeline, which would have carried natural gas across the Appalachian Trail, as delays and rising costs threatened the viability of the project.",nyt
https://www.nytimes.com/2020/07/08/climate/dakota-access-keystone-atlantic-pipelines.html,"They are among the nation’s most significant infrastructure projects: More than 9,000 miles of oil and gas pipelines in the United States are currently being built or expanded, and another 12,500 miles have been approved or announced — together, almost enough to circle the Earth.",nyt
https://www.nytimes.com/2020/07/06/business/dealbook/buffett-berkshire-pipeline-deal.html,Want this delivered to your inbox each day? Sign up here.,nyt
https://www.nytimes.com/2020/06/28/business/economy/chesapeake-energy-bankruptcy.html,"HOUSTON — Chesapeake Energy, a pioneer in extracting natural gas from shale rock across the country, filed for bankruptcy protection on Sunday, unable to overcome a mountain of debt that became unsustainable after a decade of stubbornly low gas prices.",nyt
https://www.nytimes.com/2020/06/25/business/economy/texas-economy-oil-coronavirus.html,"HOUSTON — Things were looking up for Texas in recent weeks. Oil prices had managed an impressive rebound, more than doubling to just above $40 a barrel. Restaurants and small businesses were opening up in Houston, Dallas and elsewhere. And tens of thousands of people were getting back to work.",nyt
https://www.nytimes.com/2020/06/15/business/energy-environment/bp-oil-gas-write-down.html,"BP sent a signal to investors on Monday that the economic shock of the pandemic would reverberate for years, and that less gas and oil would probably be needed in the future.",nyt
https://www.nytimes.com/2020/06/09/business/energy-environment/chesapeake-energy-bankruptcy-protection.html,"HOUSTON — Shares of Chesapeake Energy, a pioneer in extracting natural gas from shale rock that came to be known for its excesses, including a scheme to suppress the price of oil and gas leases, went on a wild ride on Tuesday amid reports that it was preparing a bankruptcy filing.",nyt
https://www.nytimes.com/2020/05/11/business/energy-environment/natural-gas-exports-coronavirus.html,"HOUSTON — A few months ago, Israel and some Arab countries were laying the groundwork for an energy partnership that held the potential for economic cooperation between once-hostile neighbors.",nyt
https://www.nytimes.com/2020/05/28/opinion/fed-fossil-fuels.html,"The coronavirus pandemic has laid bare just how vulnerable the United States is to sudden, catastrophic shocks. Climate change poses the next big threat. Ignoring it, particularly to the benefit of fossil fuel interests, is a risk we can’t afford.",nyt
